% continuousInputs: false
% addNoisyOutputs: false
% inputNoiseProbability: 0.1
% outputNoiseProbability: 0.1
% generator type: class toolkit.SyntheticDataGenerator$TwoPartitionLimitedOutputsGenerator
% maxOutputVectorsPerInstance: 3
% resultRows: 10000
% Number of instances before adding noise (numInputsVectors): 20
% numOutputVectors = 20
% numInputVectors: 20
@RELATION 'synthetic: -c -6 '
@ATTRIBUTE x1 {a, b, c, d}
@ATTRIBUTE x2 {a, b, c, d}
@ATTRIBUTE x3 {a, b, c, d}
@ATTRIBUTE class1 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class2 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class3 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class4 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class5 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@ATTRIBUTE class6 {e, f, g, h, i, j, k, l, m, o, p, q, r, s, t, u}
@DATA
c, b, c, j, i, q, g, j, r
a, b, c, r, l, o, g, j, f
c, d, c, q, t, q, g, l, s
c, b, b, s, e, u, f, t, t
d, a, d, f, g, m, g, j, f
c, d, c, t, f, t, g, l, s
b, b, c, j, i, q, g, j, r
b, c, a, r, l, o, e, s, j
c, a, b, k, u, l, f, t, t
b, d, c, q, t, q, h, l, s
c, b, b, i, e, l, s, t, h
b, c, a, r, l, o, e, s, j
c, b, c, p, o, t, f, j, r
d, d, a, e, t, l, e, l, h
d, b, d, h, q, k, h, h, i
c, d, a, k, p, g, p, q, h
c, c, a, k, p, g, p, q, h
c, b, b, i, e, l, f, t, t
a, a, b, f, g, m, g, j, r
c, b, a, i, e, l, s, t, h
c, c, c, l, u, l, g, j, r
d, d, a, e, t, l, e, l, i
b, a, c, m, i, r, s, r, u
a, d, a, j, q, j, e, k, m
a, c, c, e, o, i, f, t, t
b, c, a, q, l, p, u, s, j
d, d, a, e, t, l, f, l, i
d, a, d, i, h, t, g, j, f
b, d, a, i, e, l, e, s, j
d, a, d, m, u, l, g, j, f
c, b, a, i, e, l, s, t, h
a, a, b, m, i, r, r, f, j
c, c, a, i, e, l, s, t, h
d, a, d, l, u, l, g, j, f
b, c, b, e, o, i, s, s, h
a, c, b, e, o, i, s, q, u
c, d, c, t, e, u, g, l, s
c, d, c, t, e, u, g, l, s
d, c, d, h, r, k, h, h, j
d, b, d, i, h, t, g, j, f
c, d, c, t, e, u, g, l, s
b, c, a, i, e, l, u, j, t
c, a, c, p, o, u, m, o, g
c, c, d, m, t, q, s, t, h
c, c, a, k, q, h, p, q, h
c, a, a, m, s, q, e, l, i
a, a, b, i, e, l, g, j, r
d, a, d, i, h, t, g, j, f
c, b, b, t, e, u, f, t, t
a, c, b, u, o, i, f, t, t
a, c, b, e, o, i, f, t, t
d, d, a, e, t, l, s, t, h
c, d, b, q, t, q, h, l, s
c, a, b, m, i, r, s, q, u
c, b, d, f, g, m, g, j, f
a, c, b, e, m, i, s, q, u
a, c, b, f, o, i, s, q, u
c, c, a, k, p, h, p, q, h
b, a, c, o, g, t, s, q, e
a, a, a, j, q, i, f, i, r
a, a, b, i, e, l, g, i, r
d, d, a, k, p, h, e, l, i
d, d, a, k, p, h, e, l, i
b, d, a, m, t, q, e, l, h
b, a, c, j, q, j, s, q, u
b, c, a, r, l, p, e, s, j
a, c, b, e, o, i, f, t, t
d, b, a, i, e, l, o, l, g
b, b, c, r, l, q, h, h, j
c, c, a, k, p, h, g, j, f
d, c, c, m, t, q, h, h, j
c, b, c, l, e, l, m, m, f
c, d, c, q, t, q, g, l, s
a, a, a, j, q, j, g, j, r
b, a, d, m, i, r, s, q, u
d, a, a, i, u, l, m, m, g
d, d, a, e, t, k, e, l, i
c, b, d, l, u, l, i, f, g
d, a, a, i, e, l, m, m, g
b, c, a, e, p, i, e, s, j
c, a, a, m, t, q, e, l, h
c, c, a, k, p, h, p, p, g
c, d, c, q, t, q, g, k, s
c, d, c, q, t, q, g, l, s
c, a, a, m, t, q, h, h, j
c, a, a, m, t, q, e, l, i
a, b, c, f, o, i, f, t, t
d, d, a, k, p, h, e, l, i
c, b, a, i, e, l, s, t, h
c, d, c, t, e, t, g, l, s
c, d, b, q, t, q, g, l, s
a, b, c, r, l, p, h, h, j
c, d, c, q, t, q, g, l, s
d, d, a, e, s, l, e, l, i
c, a, a, m, u, p, e, k, i
a, a, b, m, j, r, p, q, h
b, c, a, i, e, l, f, s, j
d, a, d, i, h, t, g, j, f
c, c, d, h, s, k, s, t, h
d, c, a, k, p, h, p, q, h
d, d, a, e, t, l, e, l, i
a, c, a, h, e, l, e, s, j
c, b, b, t, e, u, f, t, t
c, b, d, m, i, r, i, f, g
d, c, d, h, r, k, r, t, i
b, a, c, j, q, j, s, p, u
b, a, c, m, i, r, s, q, u
c, b, a, k, q, h, p, q, h
b, a, c, j, q, j, p, k, i
d, b, c, m, h, r, s, o, o
c, b, b, t, e, u, f, t, t
b, c, a, u, o, i, u, j, t
b, c, a, i, e, l, s, s, h
c, b, c, j, i, p, p, q, h
c, b, c, j, i, q, p, q, h
d, c, d, g, r, k, r, t, h
c, a, a, i, e, l, s, t, h
d, a, a, i, e, l, m, m, g
a, a, a, j, q, j, e, k, m
c, b, c, l, u, m, m, m, g
a, c, b, e, o, i, f, t, t
c, b, c, p, o, u, g, j, r
a, a, c, o, i, r, s, q, u
c, c, d, l, p, h, r, o, o
b, b, a, i, e, m, s, t, h
c, d, c, t, e, u, g, l, s
c, b, d, m, u, l, g, j, r
c, b, b, t, e, u, f, t, t
a, d, b, f, g, m, f, j, r
c, a, a, m, t, q, e, s, j
d, b, c, p, o, u, r, s, i
d, d, a, k, p, h, e, l, i
b, c, a, i, e, l, e, s, j
c, c, c, q, t, q, g, l, s
b, a, c, m, i, r, s, q, u
b, a, c, j, q, j, s, q, u
a, c, c, e, o, i, s, q, u
d, d, b, k, p, h, e, l, i
b, c, a, r, l, p, t, i, t
a, b, c, r, l, p, g, j, g
d, c, a, h, r, k, h, h, k
d, a, a, i, f, l, m, m, g
c, b, b, i, e, l, f, t, t
c, d, a, m, t, p, e, s, j
c, c, d, k, p, h, p, q, h
d, c, d, h, r, k, g, h, j
b, a, a, m, t, q, e, l, i
c, b, b, t, e, u, f, t, t
c, c, c, p, o, u, g, j, r
b, c, a, i, e, l, e, s, j
b, a, c, j, q, i, s, q, u
a, a, d, g, g, m, g, j, f
a, b, c, r, l, p, e, s, j
c, b, d, l, u, k, i, f, f
d, c, a, k, p, h, r, o, o
c, a, a, m, t, q, e, l, i
b, c, a, h, e, l, e, s, j
c, b, a, i, e, k, s, t, h
b, a, c, o, g, t, s, q, u
c, c, a, k, p, h, p, q, h
a, d, a, j, q, j, g, j, r
d, d, d, f, g, m, g, j, f
c, a, a, m, t, q, e, l, i
b, c, a, e, o, j, e, s, j
a, a, c, m, i, r, p, k, i
c, b, d, j, i, q, g, j, r
c, b, a, i, e, l, s, t, h
a, b, c, r, m, p, g, j, g
c, b, b, t, e, u, f, t, t
a, a, b, m, i, r, g, j, r
b, a, c, m, i, r, o, k, i
d, b, d, l, u, l, j, f, g
c, b, b, l, u, l, f, u, s
c, b, a, i, u, l, s, t, h
c, b, d, j, i, q, p, q, h
d, a, d, f, g, m, g, k, f
c, b, b, t, e, t, f, t, t
b, c, a, e, o, i, u, i, t
b, a, a, m, t, q, e, s, j
c, c, a, k, p, h, p, q, h
a, a, a, j, q, j, e, k, m
c, b, a, l, u, l, i, e, g
c, b, d, m, i, r, i, f, g
d, a, d, f, g, m, g, i, f
c, b, d, k, u, l, i, f, g
d, a, a, j, f, l, m, l, g
c, c, a, r, l, p, e, s, j
d, a, a, i, e, l, m, m, g
c, b, d, l, u, l, i, f, g
c, d, c, q, t, q, h, l, s
c, b, d, l, u, l, i, f, f
a, c, b, f, o, i, s, q, u
c, b, b, i, e, l, f, t, t
c, b, d, l, e, k, i, f, g
b, d, c, u, e, u, g, l, s
b, b, a, e, o, i, u, i, t
c, b, a, i, e, l, s, t, h
c, b, d, l, u, l, i, f, g
c, b, d, l, u, l, i, e, g
a, a, b, f, g, m, h, j, q
b, a, c, o, g, u, s, q, u
a, a, b, i, e, k, p, p, h
b, a, c, o, g, s, p, k, i
a, a, b, f, g, m, p, q, h
a, a, a, j, q, j, e, k, m
d, b, c, m, i, r, r, o, o
c, b, b, l, u, l, f, t, t
d, d, a, e, t, l, e, l, i
a, a, a, i, f, l, p, q, h
b, a, c, m, i, r, s, q, u
d, c, d, m, t, q, s, t, h
c, b, a, i, e, l, t, t, h
c, b, c, j, h, q, q, r, i
b, d, a, i, e, l, e, s, j
d, b, d, m, i, r, i, f, g
d, c, d, h, r, k, t, s, g
b, a, a, m, t, q, h, i, j
c, b, d, l, u, l, j, f, g
c, a, a, i, f, l, s, t, h
d, c, d, h, r, k, h, i, j
b, a, b, m, t, r, i, h, j
c, c, a, k, p, h, p, q, h
b, c, a, e, o, i, s, s, h
a, a, b, m, i, r, r, f, j
d, d, a, e, t, l, e, l, i
c, d, c, t, e, u, g, l, r
c, d, c, q, t, q, g, m, t
c, b, c, l, u, l, i, f, g
d, b, b, p, o, e, r, o, o
c, c, c, p, o, u, p, q, h
a, a, a, j, q, j, g, j, r
a, b, c, r, l, p, e, s, j
c, b, a, k, p, h, p, q, h
d, b, c, q, l, p, e, s, j
d, a, a, i, e, l, m, m, g
a, a, b, i, e, m, r, f, j
c, d, c, t, e, u, g, l, s
d, a, d, i, e, k, m, l, g
d, d, a, e, t, l, e, l, i
c, a, a, m, t, r, e, s, j
d, d, c, q, t, r, g, l, s
c, d, c, q, t, q, f, l, s
d, b, b, m, i, r, s, t, h
c, d, d, t, e, u, g, l, s
c, d, b, q, t, q, g, m, t
c, c, a, k, p, h, p, q, h
b, c, a, r, l, p, e, s, j
a, a, a, r, l, p, e, k, m
c, c, a, k, p, h, p, q, h
a, b, c, r, l, p, f, s, j
d, a, d, i, h, t, g, j, f
b, c, a, r, l, p, e, s, j
c, b, a, i, e, l, s, t, h
c, a, d, q, t, q, g, l, s
c, c, c, l, u, l, g, j, r
d, b, b, i, e, l, s, t, i
d, a, a, i, e, l, m, m, g
c, c, d, k, p, h, g, j, f
b, b, b, t, e, u, e, t, t
b, b, a, m, t, q, e, l, j
c, b, a, i, e, k, s, t, h
b, a, c, j, q, j, s, q, u
d, c, a, e, t, l, e, l, i
c, a, a, m, t, q, e, l, i
b, a, c, m, i, r, s, p, u
c, d, d, q, t, q, g, l, r
d, a, a, i, h, t, g, j, f
c, b, c, j, i, q, p, q, h
d, b, a, l, u, l, i, f, g
a, a, a, r, l, p, g, j, r
d, c, c, p, o, u, r, o, o
c, d, c, q, t, q, g, l, s
c, a, a, o, t, q, e, l, i
b, c, a, r, l, p, e, s, j
c, d, c, q, t, q, g, l, s
a, b, b, m, i, r, r, f, j
c, d, a, e, t, l, e, l, i
d, a, d, l, u, l, g, j, g
a, b, c, r, l, o, g, j, f
c, a, a, i, e, l, m, m, g
b, a, c, m, i, r, s, q, e
b, c, a, k, p, h, q, q, i
c, b, a, i, e, l, s, u, h
c, b, b, l, u, l, f, t, t
c, b, b, i, e, l, f, t, t
b, c, a, i, e, l, f, s, j
c, d, c, t, f, u, g, l, s
b, a, c, o, g, s, p, k, i
b, a, c, m, h, r, s, q, u
d, a, a, i, e, l, m, m, g
a, b, c, r, l, p, g, j, f
c, d, a, e, u, l, s, t, h
b, c, a, i, e, l, e, s, j
a, a, a, j, q, j, e, k, m
c, d, c, q, t, q, g, l, s
b, c, a, r, l, p, e, s, j
c, b, b, t, e, u, f, t, t
c, b, c, j, i, q, g, j, r
c, b, b, i, e, l, f, t, t
c, c, a, k, p, h, p, q, h
c, b, d, l, t, l, i, f, g
d, a, d, i, h, t, f, j, f
c, d, c, p, t, q, g, l, t
c, b, b, t, e, u, f, t, u
d, b, d, i, h, t, g, k, f
c, c, a, k, p, h, p, q, h
d, a, a, i, e, l, m, m, g
c, b, d, l, u, l, h, f, g
a, c, b, e, o, i, r, q, u
a, a, a, j, q, j, g, j, r
b, b, d, l, u, m, i, f, g
b, a, c, m, i, r, p, k, i
c, c, a, k, p, h, q, q, h
c, d, a, m, t, q, u, l, i
d, b, c, m, i, r, r, o, m
a, c, b, e, o, i, s, q, u
a, a, b, f, g, m, r, f, j
b, c, a, e, o, i, e, s, j
a, c, b, e, o, i, s, q, u
a, a, b, i, e, k, r, f, j
a, a, b, e, g, m, p, q, h
d, a, d, f, g, m, g, j, f
c, b, b, t, e, t, f, s, t
d, a, a, i, e, l, m, m, g
d, b, c, q, o, e, q, m, o
d, a, d, i, h, t, g, j, f
c, b, a, k, p, h, r, p, o
a, a, a, j, q, j, e, j, o
c, d, c, t, e, u, g, l, s
d, d, d, h, h, t, g, j, f
c, c, a, k, p, h, r, o, o
c, b, d, k, u, l, i, f, g
c, b, c, m, i, q, i, f, g
c, b, c, l, u, l, g, j, r
c, b, c, l, u, l, g, j, r
d, c, d, i, r, k, h, h, j
c, b, a, i, f, l, s, t, h
a, c, a, r, l, p, e, s, j
a, a, a, j, q, j, u, k, l
c, d, c, q, s, q, g, l, s
c, b, a, i, e, l, s, t, h
d, a, a, i, e, l, o, l, g
a, a, b, m, h, r, p, q, h
d, b, b, t, u, u, f, t, t
a, a, b, f, f, m, o, q, h
b, a, b, m, t, q, e, s, j
b, c, a, e, o, i, e, s, j
a, a, b, i, f, l, p, q, h
d, a, a, i, e, l, m, m, g
b, c, a, i, f, l, u, s, j
b, a, c, l, i, r, s, q, u
c, b, c, p, o, u, r, o, o
d, b, c, p, o, u, r, s, k
d, d, a, e, t, l, u, l, i
a, b, c, r, l, p, e, s, k
d, b, c, p, o, u, s, t, h
d, b, c, p, o, u, r, o, m
d, a, d, i, h, t, g, j, f
a, c, b, e, o, i, f, t, t
a, b, c, r, m, p, g, j, f
d, d, a, e, t, l, f, l, i
b, c, a, e, o, i, e, r, k
a, c, b, e, o, i, f, t, t
c, d, a, m, t, q, e, l, i
b, c, a, r, l, p, u, i, t
d, a, c, m, i, r, r, o, o
c, b, c, j, h, q, f, j, r
c, a, a, m, t, q, h, h, j
c, b, b, s, u, u, g, s, t
c, b, d, m, j, r, i, e, g
b, b, c, j, q, j, s, q, u
a, a, d, j, p, j, e, k, m
d, a, a, j, e, k, m, m, g
c, a, c, q, t, q, g, l, s
c, a, a, o, t, q, h, h, j
d, b, c, p, o, u, r, s, j
c, b, c, l, u, l, g, j, r
a, c, b, e, o, i, f, t, t
c, b, c, p, o, u, g, j, r
a, a, c, i, e, l, r, f, k
c, a, a, i, e, l, s, t, h
d, a, a, m, t, q, e, l, i
b, b, d, l, u, l, i, f, g
d, b, d, l, u, l, i, f, g
c, a, a, m, t, q, e, s, j
c, d, c, t, e, u, g, l, s
b, c, a, r, l, p, s, s, h
c, d, a, f, t, l, e, l, i
b, c, a, r, l, p, e, s, j
c, b, b, s, u, u, m, m, g
d, a, a, i, e, l, m, m, g
b, a, c, m, i, r, s, q, u
d, b, c, m, i, q, s, t, h
c, a, a, m, t, q, e, s, j
d, b, c, m, i, r, s, t, h
d, c, d, m, t, q, s, t, h
d, b, d, m, i, r, s, t, h
c, c, d, l, t, p, s, t, h
b, c, a, e, o, i, f, s, j
c, b, b, t, e, u, f, t, t
d, d, a, k, p, h, e, l, i
a, a, a, j, q, j, g, j, r
d, c, d, m, t, q, s, t, i
c, b, b, t, e, u, g, t, t
d, b, c, p, o, u, r, o, o
a, b, c, r, l, p, g, j, f
b, a, c, m, i, s, s, q, e
d, a, d, l, u, l, g, j, f
a, a, b, j, e, l, r, f, j
d, c, d, h, s, k, r, t, h
b, a, c, o, g, t, s, q, u
d, b, d, m, i, r, i, f, g
d, c, d, m, t, q, s, t, h
a, a, b, i, e, l, r, f, j
c, b, d, i, e, l, s, u, h
c, a, d, l, t, q, e, l, i
c, a, a, m, t, r, e, l, i
b, c, a, r, l, p, e, s, j
b, c, a, i, e, l, f, s, j
d, d, a, i, f, l, m, m, g
c, d, c, t, e, u, g, l, s
c, d, c, q, t, q, g, l, t
d, a, a, m, t, r, e, l, i
c, b, b, t, e, u, e, t, t
c, b, b, i, e, l, f, t, t
c, a, a, i, e, l, s, t, h
c, d, a, m, t, q, e, l, i
c, a, a, m, t, q, e, l, h
d, a, b, i, e, l, m, m, g
d, d, c, q, t, p, g, l, s
d, b, c, p, o, u, r, m, o
d, d, a, k, p, h, e, l, i
c, c, a, k, p, h, q, o, o
c, c, a, i, e, l, s, u, h
b, d, a, r, l, p, f, s, j
a, a, b, f, g, m, g, j, r
c, b, c, l, u, l, p, q, h
c, d, c, q, t, q, g, l, s
d, a, a, e, g, m, g, j, f
c, d, c, q, t, q, g, l, s
c, b, c, l, u, m, g, j, r
b, a, c, j, q, j, s, q, u
c, b, c, j, j, q, p, q, h
c, c, a, k, p, h, p, q, h
b, c, a, r, l, p, s, s, h
b, c, a, u, o, i, e, s, j
d, a, b, i, e, l, m, m, g
d, a, a, i, f, l, m, m, g
c, b, b, t, e, u, f, t, t
c, d, c, q, t, q, g, l, s
c, b, d, l, u, m, i, f, g
d, a, d, i, h, t, h, j, f
c, d, c, q, t, q, g, l, t
a, a, a, j, q, j, e, k, m
d, d, a, e, t, l, e, l, i
d, c, d, m, t, r, s, t, h
c, b, d, i, e, l, s, t, h
b, c, c, t, e, u, h, l, t
a, b, c, r, l, p, h, i, j
b, a, c, p, g, t, s, q, u
c, d, c, t, e, u, g, k, s
c, b, d, m, u, l, i, f, g
a, d, a, e, t, m, e, l, i
b, a, c, o, h, t, p, j, i
c, d, c, q, t, q, g, l, s
b, c, a, r, l, p, u, s, j
a, b, c, r, l, o, h, h, j
a, a, a, j, q, j, e, k, m
b, c, a, i, e, l, s, t, h
c, b, a, i, e, l, s, t, h
a, c, b, r, l, p, g, j, f
d, a, a, i, e, l, m, m, g
c, d, c, q, t, q, g, l, s
a, a, a, q, l, p, g, j, r
c, b, c, j, i, q, g, j, r
c, a, c, t, e, u, f, l, s
d, b, a, i, e, l, s, t, h
a, a, a, r, l, p, g, j, r
d, b, c, p, o, u, r, o, o
c, d, c, t, e, u, g, l, s
c, d, c, q, t, q, g, l, s
d, a, d, f, h, m, g, j, f
a, a, a, j, q, j, h, j, r
a, b, c, r, l, p, h, h, j
a, d, d, j, q, k, e, k, m
d, a, a, i, e, l, m, l, g
c, d, c, q, t, q, g, l, s
c, c, a, k, p, h, p, q, h
c, d, c, q, t, q, g, m, s
c, b, a, i, e, l, s, t, h
a, a, a, j, q, j, e, k, m
d, d, a, e, t, l, e, l, i
b, c, a, i, e, l, u, s, j
d, c, a, e, t, l, s, t, h
b, b, c, r, l, p, e, s, j
d, a, d, l, u, l, g, j, f
a, b, c, r, l, p, e, s, j
b, a, c, i, e, l, g, j, r
c, b, c, p, o, u, g, j, r
c, b, a, i, e, l, s, t, h
a, a, c, f, f, m, r, f, j
c, a, c, m, i, q, p, k, i
c, b, d, l, u, l, i, f, g
c, a, a, m, t, q, e, l, i
c, b, b, l, u, l, f, t, t
c, c, a, k, p, h, g, j, f
d, d, a, e, t, l, e, m, i
c, a, d, q, t, q, g, l, s
b, d, b, e, o, i, e, s, j
d, a, a, i, e, m, l, m, g
b, c, a, r, l, p, u, i, t
b, a, c, j, q, j, p, l, i
c, d, c, r, t, q, g, m, s
d, a, d, l, u, l, g, j, f
c, d, c, q, s, q, g, l, s
d, a, d, i, h, t, g, j, f
d, d, a, e, t, l, e, l, i
b, c, a, r, l, p, e, s, j
c, b, d, l, u, l, i, f, g
c, c, a, k, p, h, r, o, m
c, a, a, m, t, p, e, k, i
c, d, c, q, u, q, g, l, s
a, c, b, e, o, i, f, t, t
b, a, c, m, i, r, s, q, u
b, c, a, e, o, i, s, q, u
b, a, c, m, i, r, s, q, u
d, a, a, i, u, l, m, m, g
a, a, a, j, q, j, g, j, r
c, b, a, t, e, u, f, t, t
d, d, a, e, t, l, e, l, i
c, a, a, m, t, q, e, m, i
a, a, a, j, q, j, g, j, r
c, d, c, q, t, q, g, l, r
c, b, b, t, e, u, f, t, t
c, d, c, q, t, q, g, l, s
c, c, a, k, p, h, o, q, h
b, c, a, e, o, i, f, t, j
c, d, c, q, t, q, h, l, t
c, b, c, j, i, q, g, j, r
c, a, c, m, i, s, s, q, u
c, b, b, l, u, l, f, t, t
a, b, c, r, l, p, e, s, j
b, a, c, o, f, t, s, q, u
c, b, a, k, p, h, r, o, m
a, a, b, j, q, j, e, k, m
d, d, a, e, t, l, e, l, i
b, a, c, m, i, r, s, r, u
c, b, d, j, i, q, g, j, r
a, c, b, e, p, i, s, q, u
c, d, c, q, t, q, g, l, s
c, d, c, q, t, q, g, l, s
d, b, d, m, i, r, p, l, i
d, c, d, m, t, q, r, t, h
d, a, d, l, t, l, g, i, f
c, d, c, q, t, q, g, l, s
c, d, c, t, e, u, f, l, s
d, a, d, i, h, t, g, j, f
c, d, c, q, s, q, g, m, r
a, b, c, r, l, p, h, i, j
c, a, a, i, e, l, s, t, h
c, d, c, q, t, q, g, l, s
c, c, a, k, p, h, r, o, o
c, c, d, k, q, h, p, q, h
a, b, c, r, m, p, g, h, j
c, b, c, l, u, l, m, m, g
c, b, a, i, e, l, s, t, i
c, d, c, t, e, e, g, l, s
a, a, a, i, e, m, m, m, g
b, c, a, k, q, i, r, o, o
a, a, b, f, g, m, g, j, r
c, b, b, t, e, u, f, t, t
b, c, a, r, l, p, s, s, h
b, c, a, h, e, l, e, s, j
d, a, d, j, h, t, g, j, f
b, b, a, i, e, l, r, t, h
a, b, c, r, l, p, h, h, j
a, a, a, j, q, k, g, j, r
c, b, c, j, i, q, m, m, g
c, d, c, q, t, q, g, l, s
b, a, d, m, t, q, e, l, i
b, c, a, i, e, l, e, s, i
c, d, b, p, t, q, g, l, s
d, b, d, p, o, u, r, o, o
d, a, a, i, e, l, m, m, g
a, a, b, i, f, l, r, f, j
a, c, b, f, o, i, s, q, u
c, a, a, m, t, q, e, t, k
d, b, c, p, p, u, r, o, o
c, b, a, i, f, l, s, t, h
a, c, b, e, o, i, f, t, t
d, d, a, e, s, m, s, t, i
a, a, a, j, q, j, g, j, r
c, b, d, m, i, r, i, f, h
a, c, d, m, t, q, s, t, i
c, b, c, l, u, l, p, q, h
d, c, c, h, r, k, s, t, h
c, b, b, i, e, m, f, t, t
c, b, d, m, i, r, j, f, g
d, c, d, m, s, r, s, t, g
b, c, a, i, f, l, t, s, h
d, a, a, j, q, j, g, j, s
d, b, c, j, i, q, g, j, r
d, b, c, p, o, u, s, u, h
c, b, a, i, e, l, s, t, h
c, d, b, t, e, u, g, l, s
d, a, a, i, e, l, m, o, g
c, c, a, k, p, h, h, j, f
d, d, a, e, t, l, e, l, i
c, c, a, k, p, h, p, q, h
c, d, b, k, p, h, p, q, h
c, c, a, k, p, h, p, p, i
c, d, a, o, u, q, h, h, j
a, a, a, i, e, l, m, l, g
d, c, a, k, p, h, p, q, h
c, b, a, k, p, h, p, q, h
a, c, d, h, r, k, r, t, h
c, b, c, p, o, t, g, j, r
c, b, c, j, i, q, g, j, r
c, b, c, m, i, q, r, o, o
d, b, c, j, j, q, l, m, g
a, c, d, m, s, q, s, t, h
c, b, a, j, e, l, s, t, h
d, a, d, i, h, t, g, i, f
d, a, a, i, e, l, m, m, g
d, c, c, l, t, l, g, j, r
c, b, c, j, i, q, p, q, h
c, b, d, o, i, r, i, g, g
a, a, a, j, q, j, e, k, m
c, c, a, j, p, g, o, q, h
d, a, a, h, e, l, m, m, g
d, b, c, m, i, r, r, o, o
c, c, d, m, t, q, s, u, i
c, a, d, m, t, q, e, l, i
d, b, c, m, i, r, r, o, o
d, b, d, m, i, r, i, f, g
b, c, a, r, l, p, u, i, t
d, a, a, i, e, l, m, m, g
d, d, a, f, t, l, s, t, i
b, a, c, o, i, r, s, q, u
b, a, c, o, g, t, s, q, u
a, b, c, r, l, p, h, h, j
a, c, c, e, o, i, f, t, t
a, c, a, e, o, i, s, q, u
a, a, a, r, l, p, e, k, m
c, b, d, l, u, k, i, f, g
d, a, d, i, h, t, g, j, f
c, c, a, k, p, h, r, o, o
b, c, b, e, o, i, s, q, u
b, c, a, i, e, l, s, s, h
b, b, c, o, f, t, s, q, u
c, b, b, t, e, u, f, t, t
a, c, b, e, o, i, s, q, u
d, c, c, m, t, q, s, t, h
c, d, c, t, e, u, g, l, s
d, c, d, m, t, p, t, t, h
d, a, d, f, g, m, g, i, f
a, b, c, r, l, q, g, i, f
b, a, c, m, i, r, s, p, u
a, b, c, r, l, p, h, h, j
d, b, a, h, e, l, s, t, h
c, a, c, l, u, l, p, q, h
d, a, a, i, e, l, o, m, g
b, c, a, u, o, i, e, s, j
b, d, c, u, e, u, g, l, s
c, d, d, q, t, q, g, l, s
a, a, b, f, h, m, g, j, r
d, b, c, p, o, u, r, o, o
c, c, b, k, p, h, p, q, h
b, a, c, m, i, r, s, q, u
d, a, d, f, g, m, g, j, f
a, b, c, r, l, p, h, h, j
c, b, d, l, u, l, i, f, g
c, b, a, i, e, l, s, t, h
c, b, c, l, u, l, p, q, h
d, c, c, p, o, u, s, t, h
b, b, d, m, i, r, i, f, g
c, b, b, t, e, u, e, t, t
a, a, c, i, e, l, r, g, j
a, c, b, e, o, i, f, t, t
d, d, a, e, t, m, e, l, i
d, c, b, e, o, i, s, q, u
d, b, c, p, o, u, s, t, h
a, d, a, e, t, l, e, l, i
a, c, b, e, o, i, f, t, t
c, b, d, l, u, l, i, f, g
b, c, a, r, l, p, u, i, t
c, c, a, k, p, h, p, q, h
d, d, a, e, t, l, e, l, i
a, b, c, r, l, p, e, s, j
b, a, c, o, g, t, s, q, u
a, b, c, r, l, p, h, h, j
d, c, d, i, r, k, s, t, i
c, c, a, k, p, h, o, q, h
c, b, c, l, u, l, m, m, g
b, c, a, e, o, i, u, i, t
c, b, a, i, e, l, s, t, i
d, c, d, m, t, q, h, h, j
b, a, a, m, t, q, e, l, j
c, c, a, k, p, h, r, p, o
a, c, b, e, o, i, g, t, t
a, a, a, j, q, j, e, k, m
c, c, a, k, p, h, q, q, i
c, d, c, q, t, q, g, l, s
c, a, a, m, t, q, e, l, i
c, b, d, l, u, l, i, e, g
a, a, a, j, q, j, e, k, m
a, b, c, r, l, p, g, j, f
c, b, c, p, o, u, g, j, r
c, a, a, m, t, q, f, l, i
b, a, c, k, q, j, s, q, u
b, a, a, j, q, j, g, j, r
b, a, c, l, i, r, s, q, u
a, a, a, j, q, j, g, j, r
b, b, c, l, u, l, p, q, h
b, c, a, r, l, p, e, s, j
c, b, d, l, i, r, i, f, g
c, b, c, t, e, u, f, t, t
b, a, c, o, g, t, s, q, u
c, c, c, t, e, u, g, l, s
c, d, c, t, f, u, g, l, s
b, c, a, i, e, l, s, t, h
d, a, d, f, g, m, g, j, f
c, b, c, p, o, u, g, j, r
b, d, c, q, t, q, f, l, s
c, b, a, i, e, l, s, t, h
c, b, c, k, i, q, g, j, r
d, a, a, i, e, l, m, l, g
a, a, b, f, g, m, p, q, h
d, b, c, m, i, r, s, t, i
d, c, d, m, t, q, s, t, h
a, c, a, i, e, m, e, t, j
a, c, b, e, o, i, g, t, t
d, a, d, i, e, l, m, m, g
a, b, c, r, l, p, e, s, j
c, b, d, l, u, l, h, f, g
b, a, c, m, i, r, s, q, u
d, a, d, i, h, t, g, j, f
c, c, a, k, p, h, p, q, i
b, a, c, j, q, j, s, q, u
d, a, a, i, e, l, s, t, h
b, b, b, s, e, u, g, t, t
b, b, a, r, l, p, s, s, h
b, b, b, t, e, u, f, t, t
b, a, d, j, q, j, s, q, u
b, a, b, m, i, r, s, q, u
d, d, a, e, t, l, e, l, i
c, c, a, j, p, h, p, q, h
